Country Name,"Country Code","Series Name","Series Code","2020 [YR2020]"
American Samoa,"ASM","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","NA"
American Samoa,"ASM","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","NA"
American Samoa,"ASM","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","NA"
American Samoa,"ASM","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","NA"
American Samoa,"ASM","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","59.2233009708738"
American Samoa,"ASM","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","NA"
American Samoa,"ASM","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","5.3517874262504"
Australia,"AUS","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","0.846905537459305"
Australia,"AUS","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","22.3449300806534"
Australia,"AUS","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","1.86741781543883"
Australia,"AUS","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","65.028"
Australia,"AUS","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","23.9380373915413"
Australia,"AUS","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","-4.95342899920865"
Australia,"AUS","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","-1.35774770320791"
Bangladesh,"BGD","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","5.69107474746211"
Bangladesh,"BGD","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","31.3079413414304"
Bangladesh,"BGD","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","0.31894044196432"
Bangladesh,"BGD","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","59.77"
Bangladesh,"BGD","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","10.4427880616037"
Bangladesh,"BGD","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","-3.94714517667321"
Bangladesh,"BGD","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","2.58647816564581"
Bhutan,"BTN","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","5.62936522632508"
Bhutan,"BTN","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","39.0705723574357"
Bhutan,"BTN","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","-15.5091108691023"
Bhutan,"BTN","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","67.827"
Bhutan,"BTN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","28.0656355144502"
Bhutan,"BTN","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","-2.51661518377365"
Bhutan,"BTN","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","-10.8226112381065"
Brunei Darussalam,"BRN","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","1.94031996607184"
Brunei Darussalam,"BRN","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","40.5878302733583"
